Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nf","C_0603_1608Metric",102.076500,-90.970000,-90.000000,top
"C2","100nf","C_0603_1608Metric",103.651700,-90.970000,-90.000000,top
"C3","100nf","C_0603_1608Metric",105.226800,-90.970000,-90.000000,top
"C4","100nf","C_0603_1608Metric",106.802000,-90.970000,-90.000000,top
"C5","100nf","C_0603_1608Metric",108.377100,-90.970000,-90.000000,top
"C6","100nf","C_0603_1608Metric",109.952300,-90.970000,-90.000000,top
"C7","100nf","C_0603_1608Metric",111.527500,-90.970000,-90.000000,top
"C8","100nf","C_0603_1608Metric",113.102600,-90.970000,-90.000000,top
"C9","100nf","C_0603_1608Metric",114.677800,-90.970000,-90.000000,top
"C10","100nf","C_0603_1608Metric",116.252900,-90.970000,-90.000000,top
"C11","100nf","C_0603_1608Metric",117.828100,-90.970000,-90.000000,top
"C12","100nf","C_0603_1608Metric",119.403300,-90.970000,-90.000000,top
"C13","100nf","C_0603_1608Metric",120.978400,-90.970000,-90.000000,top
"C14","100nf","C_0603_1608Metric",122.553600,-90.970000,-90.000000,top
"C15","100nf","C_0603_1608Metric",124.128800,-90.970000,-90.000000,top
"C16","100nf","C_0603_1608Metric",125.703900,-90.970000,-90.000000,top
"C17","100nf","C_0603_1608Metric",127.279100,-90.970000,-90.000000,top
"C18","100nf","C_0603_1608Metric",128.854200,-90.970000,-90.000000,top
"C19","100nf","C_0603_1608Metric",130.429400,-90.970000,-90.000000,top
"C20","100nf","C_0603_1608Metric",132.004600,-90.970000,-90.000000,top
"C21","100nf","C_0603_1608Metric",133.579700,-90.970000,-90.000000,top
"C22","100nf","C_0603_1608Metric",135.154900,-90.970000,-90.000000,top
"C23","100nf","C_0603_1608Metric",136.730000,-90.970000,-90.000000,top
"C24","100nf","C_0603_1608Metric",138.305200,-90.970000,-90.000000,top
"C25","100nf","C_0603_1608Metric",139.880400,-90.970000,-90.000000,top
"C26","100nf","C_0603_1608Metric",141.455500,-90.970000,-90.000000,top
"C27","100nf","C_0603_1608Metric",143.030700,-90.970000,-90.000000,top
"C28","100nf","C_0603_1608Metric",144.605800,-90.970000,-90.000000,top
"C29","100nf","C_0603_1608Metric",151.325200,-91.005000,90.000000,top
"C30","100nf","C_0603_1608Metric",149.750000,-91.005000,90.000000,top
"C31","100nf","C_0603_1608Metric",148.174900,-91.005000,90.000000,top
"C32","100nf","C_0603_1608Metric",146.520000,-91.000000,90.000000,top
"C33","100nf","C_0805_2012Metric",112.040000,-132.760000,90.000000,top
"C34","10uf tam","CP_EIA-3216-18_Kemet-A",110.870000,-141.212500,90.000000,top
"C35","100nf","C_0805_2012Metric",114.370000,-132.760000,90.000000,top
"C36","100nf","C_0805_2012Metric",116.650000,-132.760000,90.000000,top
"C37","100nf","C_0805_2012Metric",119.090000,-132.760000,90.000000,top
"C38","10uf tam","CP_EIA-3216-18_Kemet-A",120.640000,-141.300000,90.000000,top
"D1","Power","LED_0805_2012Metric",113.750000,-129.880000,180.000000,top
"J1","PROGRAM","PinHeader_1x04_P2.54mm_Vertical",87.310000,-107.290000,180.000000,top
"J2","USBC","USB-C_SMD-TYPE-C-31-M-12",103.670000,-138.797500,0.000000,top
"J3","CON_LEFT","PinHeader_1x07_P2.54mm_Vertical",173.070000,-95.930000,-90.000000,top
"J4","CON_RIGHT","PinHeader_1x07_P2.54mm_Vertical",157.820000,-128.210000,90.000000,top
"J5","CON_UP","PinHeader_1x07_P2.54mm_Vertical",173.070000,-118.380000,-90.000000,top
"J6","CON_DOWN","PinHeader_1x07_P2.54mm_Vertical",173.070000,-84.950000,-90.000000,top
"J7","CON_CENTER","PinHeader_1x07_P2.54mm_Vertical",173.070000,-107.900000,-90.000000,top
"J8","CON_LEFT","PinHeader_1x05_P2.54mm_Vertical",140.585000,-127.340000,90.000000,top
"J9","CON_RIGTH","PinHeader_1x05_P2.54mm_Vertical",125.180000,-120.880000,90.000000,top
"J10","LED_LEFT","PinHeader_1x05_P2.54mm_Vertical",124.850000,-127.260000,90.000000,top
"J11","LED_RIGTH","PinHeader_1x05_P2.54mm_Vertical",140.410000,-120.790000,90.000000,top
"J12","Conn_02x20_Odd_Even","PinHeader_2x20_P2.54mm_Vertical",107.625000,-76.075000,90.000000,top
"P1","WJ500V-5.08-2P-14-00A","CONN-TH_2P-P5.00_WJ500V-5.08-2P",128.330000,-139.440000,0.000000,top
"R1","22K","R_0603_1608Metric",101.977100,-85.740000,90.000000,top
"R2","22K","R_0603_1608Metric",103.493600,-85.740000,90.000000,top
"R3","22K","R_0603_1608Metric",105.010000,-85.740000,90.000000,top
"R4","22K","R_0603_1608Metric",106.526400,-85.740000,90.000000,top
"R5","22K","R_0603_1608Metric",108.042900,-85.740000,90.000000,top
"R6","22K","R_0603_1608Metric",109.559300,-85.740000,90.000000,top
"R7","22K","R_0603_1608Metric",111.075800,-85.740000,90.000000,top
"R8","22K","R_0603_1608Metric",112.592200,-85.740000,90.000000,top
"R9","22K","R_0603_1608Metric",114.108600,-85.740000,90.000000,top
"R10","22K","R_0603_1608Metric",115.625100,-85.740000,90.000000,top
"R11","22K","R_0603_1608Metric",117.141500,-85.740000,90.000000,top
"R12","22K","R_0603_1608Metric",118.658000,-85.740000,90.000000,top
"R13","22K","R_0603_1608Metric",120.174400,-85.740000,90.000000,top
"R14","22K","R_0603_1608Metric",121.690800,-85.740000,90.000000,top
"R15","22K","R_0603_1608Metric",123.207300,-85.740000,90.000000,top
"R16","22K","R_0603_1608Metric",124.723700,-85.740000,90.000000,top
"R17","22K","R_0603_1608Metric",126.240100,-85.740000,90.000000,top
"R18","22K","R_0603_1608Metric",127.756600,-85.740000,90.000000,top
"R19","22K","R_0603_1608Metric",129.273000,-85.740000,90.000000,top
"R20","22K","R_0603_1608Metric",130.789500,-85.740000,90.000000,top
"R21","22K","R_0603_1608Metric",132.305900,-85.740000,90.000000,top
"R22","22K","R_0603_1608Metric",133.860000,-85.730000,90.000000,top
"R23","22K","R_0603_1608Metric",135.430000,-85.750000,90.000000,top
"R24","22K","R_0603_1608Metric",136.970000,-85.740000,90.000000,top
